test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
4123333902,66947506,"samsung/kltezt/klte:4.4.2/KOT49H/G900IZTU1ANCB:user/release-keys","2018-08-01 00:01:18","182.1.xxx.xxx",36086,7530,38,"Makassar","Indonesia","ID",-5.1333,119.4167,"PT. Telekomunikasi Indonesia","Indonesia","ID","East Kalimantan","KI","Balikpapan",-1.261,116.898,319.269,"Telkomsel","1","TELKOMSEL","510","10",15,15,"samsung","klte","qcom","KOT49H","samsung","SM-G900I","kltezt","","79910933",1,"Balikpapan, Balikpapan City, East Kalimantan, Indonesia","Balikpapan","locality","Indonesia","ID","East Kalimantan","Balikpapan City","","76115",""
4123333905,217655951,"Xiaomi/scorpio/scorpio:8.0.0/OPR1.170623.032/8.7.26:user/release-keys","2018-08-01 00:01:18","112.96.xxx.xxx",3715,3435,18,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","China","CN","Guangdong","GD","Guangzhou",22.961,113.427,15.6863,"China Unicom Guangdong province","1","中国联通","460","1",15,15,"Xiaomi","scorpio","qcom","OPR1.170623.032","Xiaomi","Mi Note 2","scorpio","","101252108",1,"Guangzhou, Guangdong, China","Guangzhou","locality","China","CN","Guangdong","","","511450",""
4123333908,217655952,"motorola/merlin_retasia/merlin:6.0.1/MPDS24.107-56-1-28/42:user/release-keys","2018-08-01 00:01:18","157.50.xxx.xxx",993,494,49,"Chennai","India","IN",13.0827,80.2707,"Vodafone India","India","IN","Tamil Nadu","TN","Chennai",13.083,80.283,0.85019,"Jio","1","Jio 4G","405","869",15,15,"motorola","merlin","qcom","MPDS24.107-56-1-28","motorola","MotoG3-TE","merlin_retasia","","2495525",2,"Chennai, Tamil Nadu, India","Chennai","locality","India","IN","Tamil Nadu","Tiruvallur","","600009",""
4123333913,162960599,"Xiaomi/kenzo/kenzo:6.0.1/MMB29M/V9.5.3.0.MHOMIFA:user/release-keys","2018-08-01 00:01:18","47.11.xxx.xxx",409,878,99,"Kolkata","India","IN",22.5667,88.3667,"Vodafone India","India","IN","West Bengal","WB","Saktigarh",23.219,87.922,53.3051,"Jio","1","Jio 4G","405","840",15,15,"Xiaomi","kenzo","qcom","MMB29M","Xiaomi","Redmi Note 3","kenzo","","364837",1,"Jotram, West Bengal, India","Jotram","locality","India","IN","West Bengal","Bardhaman","","713103",""
4123333914,64890513,"Sony/D2303/D2303:4.3/18.0.C.1.13/8nv_bw:user/release-keys","2018-08-01 00:01:18","223.24.xxx.xxx",18965,3157,38,"Bangkok","Thailand","TH",13.7500,100.4833,"Shama Thunder","Thailand","TH","Pathum Thani","13","Rangsit City Municipality",13.958,100.623,17.2573,"True Internet","1","TH 3G+","520","0",17,17,"Sony","D2303","qcom","18.0.C.1.13","Sony","D2303","D2303","","1066756",1,"Khu Khot, Lam Luk Ka District, Pathum Thani, Thailand","Khu Khot","locality","Thailand","TH","Pathum Thani","Lam Luk Ka District","","12130",""
4123333915,217655953,"samsung/on7xeltedd/on7xelte:7.0/NRD90M/G610FDDU1BRB4:user/release-keys","2018-08-01 00:01:18","106.76.xxx.xxx",6421,3546,202,"Bagalkot","India","IN",16.1725,75.6557,"SuperSonic GigaFiber","India","IN","Karnataka","KA","Gadag",15.430,75.635,51.325,"Idea Cellular","1","CellOne | BSNL MOBILE","404","71",15,15,"samsung","on7xelte","samsungexynos7870","NRD90M","samsung","SM-G610F","on7xeltedd","","10579241",1,"Gadag, Karnataka 582101, India","Gadag","locality","India","IN","Karnataka","Gadag","","582101",""
4123333920,209141251,"OPPO/CPH1723/CPH1723:7.1.1/N6F26Q/1523272681:user/release-keys","2018-08-01 00:01:18","27.97.xxx.xxx",1124,2008,85,"Kochi","IN","IN",9.9770,76.2700,"Bharti Airtel Ltd","India","IN","Kerala","KL","Ernakulam",9.983,76.283,1.00574,"Idea Cellular","1","IDEA","404","19",11,17,"OPPO","CPH1723","mt6763","N6F26Q","OPPO","CPH1723","CPH1723","","52974136",2,"Ernakulam, Kerala 682011, India","Ernakulam","locality","India","IN","Kerala","Ernakulam","","682035",""
4123333921,202377072,"samsung/greatltexx/greatlte:8.0.0/R16NW/N950FXXS4CRG1:user/release-keys","2018-08-01 00:01:19","27.67.xxx.xxx",68533,2491,16,"Hanoi","Vietnam","VN",21.0285,105.8542,"VTC DIGICOM","Vietnam","VN","Hoa Binh","14","Xom Giang",20.891,105.569,20.6988,"Viettel Group","1","VIETTEL","452","4",15,15,"samsung","greatlte","samsungexynos8895","R16NW","samsung","SM-N950F","greatltexx","","84557569",1,"TT. Xuân Mai, Vietnam","TT. Xuân Mai","administrative_area_level_3","Vietnam","VN","TT. Xuân Mai","","","",""
4123333924,92693391,"lge/p1_global_com/p1:6.0/MRA58K/1809319266c01:user/release-keys","2018-08-01 00:01:19","5.170.xxx.xxx",108163,27418,22,"Pomigliano D'Arco","IT","IT",40.9101,14.3829,"Vola","Italy","IT","Campania","72","Caserta",41.081,14.349,11.9823,"Telecom Italia Mobile","1","I TIM","222","1",15,15,"lge","p1","p1","MRA58K","LGE","LG-H815","p1_global_com","","102493697",1,"Caserta CE, Italy","Caserta","locality","Italy","IT","Campania","Province of Caserta","Caserta","81100",""
4123333926,187259889,"lenovo/manning_retail/manning:8.0.0/OMB27.43-45/50:user/release-keys","2018-08-01 00:01:19","157.51.xxx.xxx",1268,1844,48,"Madurai","India","IN",9.9000,78.1000,"Niss Broadband","India","IN","Tamil Nadu","TN","Chennai",13.083,80.283,265.29,"Jio","1","Jio 4G","405","869",15,15,"lenovo","manning","mt6797","OMB27.43-45","lenovo","Lenovo K8 Note","manning_retail","","1541938",2,"Chennai, Tamil Nadu, India","Chennai","locality","India","IN","Tamil Nadu","Tiruvallur","","600009",""
